author name,tokenized_sentence
রোকেয়া সাখাওয়াত হোসেন,কা’ল বলেছিলে প্রিয়!
রোকেয়া সাখাওয়াত হোসেন,"আমারে বিদায় দিবে, কিন্তু নিলে আজ আপনি বিদায়!"
রোকেয়া সাখাওয়াত হোসেন,"দুঃখ শুধু এই-ছেড়ে গেলে অভাগায়
ডুবাইয়া চির তরে চির পিপাসায়!"
রোকেয়া সাখাওয়াত হোসেন,"যখন যেদিকে চাই,
কেবলি দেখিতে পাই, --
“পিপাসা, পিপাসা” লেখা জ্বলন্ত ভাষায়।"
রোকেয়া সাখাওয়াত হোসেন,শ্রবণে কে যে ঐ “পিপাসা” বাজায়।
রোকেয়া সাখাওয়াত হোসেন,প্রাণটা সত্যই নিদারুণ তৃষানলে জ্বলিতেছে।
রোকেয়া সাখাওয়াত হোসেন,"এ জ্বালার শেষ নাই, বিরাম নাই, এ জ্বালা অনন্ত।"
রোকেয়া সাখাওয়াত হোসেন,"এ তাপদগ্ধ প্রাণ যে দিকে দৃষ্টিপাত করে, সেই দিকে নিজের হৃদয়ের প্রতিবিম্ব দেখিতে পায়।"
রোকেয়া সাখাওয়াত হোসেন,পোড়া চক্ষে আর কিছুই দেখি না।
রোকেয়া সাখাওয়াত হোসেন,পুস্পময়ী শস্যশ্যামলা ধরণীর আনন্দময়ী মূর্ত্তি আমি দেখি না।
রোকেয়া সাখাওয়াত হোসেন,বিশ্ব জগতের মনোরম সৌন্দর্য আমি দেখি না।
রোকেয়া সাখাওয়াত হোসেন,"আমি কি দেখি, শুনিবে?"
রোকেয়া সাখাওয়াত হোসেন,"যদি হৃদয়ে
ফটোগ্রাফ্ তোলা যাইত, যদি চিত্রকরের তুলিতে হৃদয়ের প্রতিকৃতি অঙ্কিত করিবার শক্তি থাকিত,-তবে দেখাইতে পারিতাম, এ হৃদয় কেমন!"
রোকেয়া সাখাওয়াত হোসেন,কিন্তু সে উপায় নাই।
রোকেয়া সাখাওয়াত হোসেন,"ঐ যে মহরমের নিশান, তাজিয়া প্রভৃতি দেখা যায়,-ঢাক ঢোল বাজে, লোকে ছুটাছুটি করে, ইহাই কি মহরম?"
রোকেয়া সাখাওয়াত হোসেন,"ইহাতে কেবল খেলা, চৰ্ম্মচক্ষে দেখিবার তামাসা।"
রোকেয়া সাখাওয়াত হোসেন,ইহাকে কে বলে মহরম?
রোকেয়া সাখাওয়াত হোসেন,মহরম তবে কি?
রোকেয়া সাখাওয়াত হোসেন,"কি জানি, ঠিক উত্তর দিতে পারিলাম না।"
রোকেয়া সাখাওয়াত হোসেন,"কথাটা ভাবিতেই পারি না,-ওকথা মনে উদয় হইলেই আমি কেমন হইয়া যাই,-চক্ষে অন্ধকার দেখি, মাথা ঘুরিতে থাকে!"
রোকেয়া সাখাওয়াত হোসেন,সুতরাং বলিতে পারি না-মহরম কি !
রোকেয়া সাখাওয়াত হোসেন,"আচ্ছা তাহাই হউক, ঐ নিশান তাজিয়া লইয়া খেলাই হউক; কিন্তু ঐ দৃশ্য কি একটা পুরাতন শোকস্মৃতি জাগাইয়া দেয় না?"
রোকেয়া সাখাওয়াত হোসেন,"বায়ু-হিল্লোলে নিশানের কাপড় আন্দোলিত হইলে, তাহাতে কি স্পষ্ট লেখা দেখা যায় না-“পিপাসা”?"
রোকেয়া সাখাওয়াত হোসেন,উহাতে কি একটা হৃদয়-বিদারক শোকস্মৃতি জাগিয়া উঠে না?
রোকেয়া সাখাওয়াত হোসেন,সকল মানুষই মরে বটে-কিন্তু এমন মরণ কাহার হয়?
রোকেয়া সাখাওয়াত হোসেন,একদিন স্বপ্নে দেখিলাম-স্বপ্নে মাত্র যেন সেই কারবালায় গিয়াছি।
রোকেয়া সাখাওয়াত হোসেন,"ভীষণ মরুভূমি তপ্ত বালুকা; চারিদিক ধূ ধূ করিতেছে; সমীরণ হায় হায় বলিয়া ঘুরিয়া বেড়াইতেছে, যেন কাহাকে খুঁজিতেছে!"
রোকেয়া সাখাওয়াত হোসেন,"আমি কেবল শুনিতে পাইলাম- “পিপাসা, পিপাসা”!"
রোকেয়া সাখাওয়াত হোসেন,"বালুকা কণায় অঙ্কিত যেন “পিপাসা, পিপাসা” !"
রোকেয়া সাখাওয়াত হোসেন,"চতুৰ্দ্দিক চাহিয়া দেখিলাম, সব শূন্য, তাহার ভিতর “পিপাসা” মূর্তিমতী হইয়া ভাসিতেছে!"
রোকেয়া সাখাওয়াত হোসেন,সে দৃশ্য অতি ভয়ঙ্কর-তথা হইতে দূরে চলিলাম।
রোকেয়া সাখাওয়াত হোসেন,"এখানে যাহা দেখিলাম, তাহা আরও ভীষণ, আরও হৃদয়-বিদারক!"
রোকেয়া সাখাওয়াত হোসেন,দেখিলাম-মরুভূমি শোণিত- রঞ্জিত!
রোকেয়া সাখাওয়াত হোসেন,"রক্ত-প্রবাহ বহিতে পারে নাই-যেমন রক্তপাত হইয়াছে, অমনি
একদা জয়নাল আবেদীন (হোসেনের পুত্র) জনৈক কসাইকে জিজ্ঞাসা করিলেন, “ছাগল জবেহ করিতে আনিয়াছ, উহাকে কিছু খাইয়াইয়াছ?”"
রোকেয়া সাখাওয়াত হোসেন,"কসাই উত্তর করিল, “হ্যাঁ, ইহাকে এখনই প্রচুর জলপান করাইয়া আনিলাম!”"
রোকেয়া সাখাওয়াত হোসেন,"ইহা শুনিয়া তিনি বলিলে, “তুমি ছাগলটাকে প্রচুর জলপানে তৃপ্ত করিয়া জবেহ করিতে আনিয়াছ; আর শিমর আমার পিতাকে তিন দিন পর্যন্ত জলাভাবে পিপাসায় দগ্ধ করিয়া জবেহ করিয়াছে!”"
রোকেয়া সাখাওয়াত হোসেন,কারবালার যুদ্ধের সময় জয়নাল ভুগিতেছিলেন বলিয়া শহীদ (সমরশায়ী) হয় নাই।
রোকেয়া সাখাওয়াত হোসেন,"ধর্মগুরু মহাত্মা মোহাম্মদের (দঃ) মৃত্যুর পর, ক্রমান্বয়ে আবুবকর সিদ্দিক, ওমর খেতাব ও ওসমান গনি “খলিফা” হইলেন।"
রোকেয়া সাখাওয়াত হোসেন,"চতুর্থবারে আলী খলিফা হইবেন, কি মোয়াবীয়া খলিফা হইবেন, এই বিষয়ে মতভেদ হয়।"
রোকেয়া সাখাওয়াত হোসেন,"একদল বলিল, “মোয়াবীয়া হইবেন,” একদল বলে “আলী মোহাম্মদের (দঃ) জামাতা, তিনি সিংহাসনের ন্যায্য অধিকারী”।"
রোকেয়া সাখাওয়াত হোসেন,এইরূপে বিবাদের সূত্রপাত হয়।
রোকেয়া সাখাওয়াত হোসেন,"অতঃপর মোয়াবীয়ার পুত্র এজিদ, আলীর পুত্র হাসান ও হোসেনের সর্ব্বনাশ করিতে বদ্ধপরিকর হইল।"
রোকেয়া সাখাওয়াত হোসেন,এজিদ মহাত্মা হাসানকে কৌশলে বিষ পান করাইয়া হত্যা করে।
রোকেয়া সাখাওয়াত হোসেন,ইহার এক বৎসর পরে মহাত্মা হোসেনকে ডাকিয়া (নিয়ন্ত্রণ করিয়া) কারবালায় লইয়া গিয়া যুদ্ধে বধ করে।
