novel_name,tokenized_sentence
Himu Ebong Ekti Russian Pori,আমাদের কালচারে অনুরোধে ঢেঁকি গেলার ব্যাপারটা আছে।
Himu Ebong Ekti Russian Pori,লেখালেখি জীবনের শুরুতে প্রচুর ঢেঁকি গিলেছি।
Himu Ebong Ekti Russian Pori,শেষের দিকে এসে রাইস মিল গেলা শুরু করেছি।
Himu Ebong Ekti Russian Pori,বৎসরে আমি একটাই হিমু লিখি ।
Himu Ebong Ekti Russian Pori,বিশ্বকাপ বাংলাদেশে হচ্ছে বলে দু'জন হিমু ।
Himu Ebong Ekti Russian Pori,একজন মাঠে বসে খেলা দেখবে অন্যজন পথে পথে হাঁটবে ।
Himu Ebong Ekti Russian Pori,"হুমায়ূন আহমেদ নুহাশপল্লী 

মাজেদা খালা গলা নামিয়ে, প্রায় ফিসফিস করে বললেন, পরী দেখবি?"
Himu Ebong Ekti Russian Pori,"আমি বললাম, কি রকম পরী?"
Himu Ebong Ekti Russian Pori,ডানাকাটা পরী ।
Himu Ebong Ekti Russian Pori,"আমি বললাম, ডানা কাটার ঘা শুকিয়েছে, না-কি ঘা এখনো আছে?"
Himu Ebong Ekti Russian Pori,"শরীরে ঘা নিয়ে ঘুরছে, এমন পরী দেখব না ।"
Himu Ebong Ekti Russian Pori,"মাজেদা খালা বিরক্ত মুখে বললেন, 'তুই কি সহজভাবে কোনো কথা বলতে পারিস না।"
Himu Ebong Ekti Russian Pori,ডানাকাটা পরী দেখতে চাস না-কি চাস না?
Himu Ebong Ekti Russian Pori,হ্যাঁ কিংবা না বল।
Himu Ebong Ekti Russian Pori,"'
ডানাওয়ালা কিংবা ডানাকাটা কোনো ধরনের পরীই আমার দেখতে ইচ্ছা করছে না।"
Himu Ebong Ekti Russian Pori,খালাকে খুশি করার জন্যে হ্যাঁ সূচক মাথা নাড়লাম ।
Himu Ebong Ekti Russian Pori,"খালা আমার সামনে 3R সাইজের একটা ছবি রেখে বললেন, এই দেখ ডানাকাটা পরী ।"
Himu Ebong Ekti Russian Pori,আমি দেখলাম গোঁফওয়ালা এক পরীর ছবি।
Himu Ebong Ekti Russian Pori,তার মাথার চুল ব্রাসের মত ছোট করে কাটা।
Himu Ebong Ekti Russian Pori,চাইনিজ কাটের হলুদ রঙের একটা সার্ট তার গায়ে।
Himu Ebong Ekti Russian Pori,সার্টের নিচে নীল রঙের হাফ পেন্ট।
Himu Ebong Ekti Russian Pori,পরীর হাতে টেনিস র‍্যাকেট।
Himu Ebong Ekti Russian Pori,কপালে ঘাম দেখে মনে হল টেনিস খেলে এসেছে।
Himu Ebong Ekti Russian Pori,"খালা বললেন, কেমন দেখলি?"
Himu Ebong Ekti Russian Pori,"আমি বললাম, ভাল ।"
Himu Ebong Ekti Russian Pori,গোঁফওয়ালা পরীর কথা আগে শুনি নি।
Himu Ebong Ekti Russian Pori,ছবি দেখে ভাল লাগল ।
Himu Ebong Ekti Russian Pori,ফ্রেঞ্চ কাট দাড়ি থাকলে আরো ভাল লাগতো ।
