author name,tokenized_sentence
Humayun Ahmed,"ভূমিকা
আমাদের কালচারে অনুরোধে ঢেঁকি গেলার ব্যাপারটা আছে।"
Humayun Ahmed,লেখালেখি জীবনের শুরুতে প্রচুর ঢেঁকি গিলেছি।
Humayun Ahmed,শেষের দিকে এসে রাইস মিল গেলা শুরু করেছি।
Humayun Ahmed,হিমু এবং একটি রাশিয়ান পরী” তার উদাহরণ।
Humayun Ahmed,বৎসরে আমি একটাই হিমু লিখি ।
Humayun Ahmed,বিশ্বকাপ বাংলাদেশে হচ্ছে বলে দু'জন হিমু ।
Humayun Ahmed,একজন মাঠে বসে খেলা দেখবে অন্যজন পথে পথে হাঁটবে ।
Humayun Ahmed,"হুমায়ূন আহমেদ নুহাশপল্লী 

মাজেদা খালা গলা নামিয়ে, প্রায় ফিসফিস করে বললেন, পরী দেখবি?"
Humayun Ahmed,"আমি বললাম, কি রকম পরী?"
Humayun Ahmed,ডানাকাটা পরী ।
Humayun Ahmed,"আমি বললাম, ডানা কাটার ঘা শুকিয়েছে, না-কি ঘা এখনো আছে?"
Humayun Ahmed,"শরীরে ঘা নিয়ে ঘুরছে, এমন পরী দেখব না ।"
Humayun Ahmed,"মাজেদা খালা বিরক্ত মুখে বললেন, 'তুই কি সহজভাবে কোনো কথা বলতে পারিস না।"
Humayun Ahmed,ডানাকাটা পরী দেখতে চাস না-কি চাস না?
Humayun Ahmed,হ্যাঁ কিংবা না বল।
Humayun Ahmed,ডানাওয়ালা কিংবা ডানাকাটা কোনো ধরনের পরীই আমার দেখতে ইচ্ছা করছে না।
Humayun Ahmed,খালাকে খুশি করার জন্যে হ্যাঁ সূচক মাথা নাড়লাম ।
Humayun Ahmed,"খালা আমার সামনে 3R সাইজের একটা ছবি রেখে বললেন, এই দেখ ডানাকাটা পরী ।"
Humayun Ahmed,আমি দেখলাম গোঁফওয়ালা এক পরীর ছবি।
Humayun Ahmed,তার মাথার চুল ব্রাসের মত ছোট করে কাটা।
Humayun Ahmed,চাইনিজ কাটের হলুদ রঙের একটা সার্ট তার গায়ে।
Humayun Ahmed,সার্টের নিচে নীল রঙের হাফ পেন্ট।
Humayun Ahmed,পরীর হাতে টেনিস র‍্যাকেট।
Humayun Ahmed,কপালে ঘাম দেখে মনে হল টেনিস খেলে এসেছে।
Humayun Ahmed,"খালা বললেন, কেমন দেখলি?"
Humayun Ahmed,"আমি বললাম, ভাল ।"
Humayun Ahmed,গোঁফওয়ালা পরীর কথা আগে শুনি নি।
Humayun Ahmed,ছবি দেখে ভাল লাগল ।
Humayun Ahmed,ফ্রেঞ্চ কাট দাড়ি থাকলে আরো ভাল লাগতো ।
Humayun Ahmed,"খালা গলার স্বর আবারো খাদে নামিয়ে বললেন, ছেলে না, এ মেয়ে ।"
Humayun Ahmed,গোঁফ লাগিয়ে ছেলে সেজেছে।
Humayun Ahmed,তার আসল ছবি দেখলে মাথা ঘুরে সোফায় কাত হয়ে পড়ে যাবি ।
Humayun Ahmed,দশ মিনিট উঠতে পারবি না।
Humayun Ahmed,বুক ধড়ফড়ানি রোগ হয়ে যাবে।
Humayun Ahmed,এই দেখ আসল ছবি।
Humayun Ahmed,"এখন বল এই মেয়ে যদি পরী না হয় তাহলে পরী
কে?"
Humayun Ahmed,"আমি বললাম, হুঁ ।"
Humayun Ahmed,শুধু হুঁ বললি ।
Humayun Ahmed,সুন্দর একটা কথা বল।
Humayun Ahmed,"আমি বললাম, “কে বলে শারদ পপি এ যূখের তুলা পদনখে পড়ে আছে
তার কতগুলো ।”"
Humayun Ahmed,"আমি বললাম, “কে বলে শারদ পপি এ যূখের তুলা পদনখে পড়ে আছে
তার কতগুলো ।”"
Humayun Ahmed,এর মানে কি?
Humayun Ahmed,এর মানে হল শরৎ রাতের চাঁদও এই সুখের তুলনা হবে না।
Humayun Ahmed,শরতের পূর্ণ চন্দ্র পড়ে থাকবে এই তরুণীর পায়ের নখের কাছে।
Humayun Ahmed,বাহ্।
