novel_name,tokenized_sentence
একটি গহিন গ্রাম,"রাস্তার পাশে রিকশা-ভ্যানটা থামিয়ে রিকশাওয়ালা নেমে গামছা দিয়ে মুখ মুছে বলল, ""আর সামনে যাবে না।"
একটি গহিন গ্রাম,বাকিটা হেঁটে যেতে হবে।
একটি গহিন গ্রাম,"আজকাল যেখানেই কিছুদিন পরে যান, গিয়ে জায়গাটা চিনতে পারেন না।"
একটি গহিন গ্রাম,ফাঁকা একটা জায়গা বাড়িঘরে ঘিঞ্জি হয়ে যায়।
একটি গহিন গ্রাম,"এই এলাকার কোনো পরিবর্তন হয়নি, সেই ছোট থাকতে যে রকম দেখেছিলেন, এখনো সে রকমই আছে।"
একটি গহিন গ্রাম,"রাশা রিকশা-ভ্যানে পা তুলে বসেছিল, এবার নেমে পড়ে।"
একটি গহিন গ্রাম,"গত রাতে তারা রওনা দিয়েছে, সারা রাত ট্রেনে কেটেছে, সকালে নেমে বাস ধরেছে।"
একটি গহিন গ্রাম,"বাসের পর স্কুটার, তারপর রিকশা-ভ্যান।"
একটি গহিন গ্রাম,বাকিটা হেঁটে যেতে হবে।
একটি গহিন গ্রাম,রাশা অন্যমনস্কভাবে চারপাশে তাকাল কিন্তু খুব ভালো করে কিছু দেখল বলে মনে হয় না।
একটি গহিন গ্রাম,"একটু আগে জলার ধারে গাছের ওপর একটা মাছরাঙা পাখি বসেছিল, এত সুন্দর রঙিন পাখি সে জীবনে কখনোই দেখেনি, কিন্তু তার পরও পাখিটা দেখে তার ভেতরে কোনো আনন্দ হলো না।"
একটি গহিন গ্রাম,"আসলে তার ভেতরটা এখন মনে হয় মরে গেছে, আনন্দ বা দুঃখ কোনো অনুভূতিই হচ্ছে না।"
একটি গহিন গ্রাম,"মনে হচ্ছে, চার পাশে যেটা ঘটছে তার পুরোটাই একটা দুঃস্বপ্ন।"
একটি গহিন গ্রাম,"মনে হচ্ছে, এক্ষুণি তার ঘুম ভেঙে যাবে, আর ঘুম থেকে উঠে দেখবে, সে তার ঘরে কম্পিউটারের সামনে বসে আছে।"
একটি গহিন গ্রাম,"রাশা জানে, এটা দুঃস্বপ্ন নয়, সত্যি।"
একটি গহিন গ্রাম,"তাই সম্পূর্ণ অপরিচিত এক ধরনের দুঃখ, হতাশা আর আতঙ্কে বুকের ভেতরটা অসাড় হয়ে আছে।"
