Author,Genre,Source,Text

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"ভূমিকা
আমাদের কালচারে অনুরোধে ঢেঁকি গেলার ব্যাপারটা আছে।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,লেখালেখি জীবনের শুরুতে প্রচুর ঢেঁকি গিলেছি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,শেষের দিকে এসে রাইস মিল গেলা শুরু করেছি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,“হিমু এবং একটি রাশিয়ান পরী” তার উদাহরণ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,বৎসরে আমি একটাই হিমু লিখি ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,বিশ্বকাপ বাংলাদেশে হচ্ছে বলে দু'জন হিমু ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,একজন মাঠে বসে খেলা দেখবে অন্যজন পথে পথে হাঁটবে ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"মাজেদা খালা গলা নামিয়ে, প্রায় ফিসফিস করে বললেন, পরী দেখবি?"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমি বললাম, কি রকম পরী?"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ডানাকাটা পরী ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমি বললাম, ডানা কাটার ঘা শুকিয়েছে, না-কি ঘা এখনো আছে?"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"শরীরে ঘা নিয়ে ঘুরছে, এমন পরী দেখব না ।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"মাজেদা খালা বিরক্ত মুখে বললেন, 'তুই কি সহজভাবে কোনো কথা বলতে পারিস না।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ডানাকাটা পরী দেখতে চাস না-কি চাস না?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,হ্যাঁ কিংবা না বল।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"ডানাওয়ালা কিংবা ডানাকাটা কোনো ধরনের পরীই আমার দেখতে ইচ্ছা করছে না।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,খালাকে খুশি করার জন্যে হ্যাঁ সূচক মাথা নাড়লাম ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"খালা আমার সামনে 3R সাইজের একটা ছবি রেখে বললেন, এই দেখ ডানাকাটা পরী ।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আমি দেখলাম গোঁফওয়ালা এক পরীর ছবি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তার মাথার চুল ব্রাসের মত ছোট করে কাটা।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,চাইনিজ কাটের হলুদ রঙের একটা সার্ট তার গায়ে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,সার্টের নিচে নীল রঙের হাফ পেন্ট।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,পরীর হাতে টেনিস র‍্যাকেট।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,কপালে ঘাম দেখে মনে হল টেনিস খেলে এসেছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"খালা বললেন, কেমন দেখলি?"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমি বললাম, ভাল ।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,গোঁফওয়ালা পরীর কথা আগে শুনি নি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ছবি দেখে ভাল লাগল ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ফ্রেঞ্চ কাট দাড়ি থাকলে আরো ভাল লাগতো ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"খালা গলার স্বর আবারো খাদে নামিয়ে বললেন, ছেলে না, এ মেয়ে ।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,গোঁফ লাগিয়ে ছেলে সেজেছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তার আসল ছবি দেখলে মাথা ঘুরে সোফায় কাত হয়ে পড়ে যাবি ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,দশ মিনিট উঠতে পারবি না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,বুক ধড়ফড়ানি রোগ হয়ে যাবে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এই দেখ আসল ছবি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"এখন বল এই মেয়ে যদি পরী না হয় তাহলে পরী কে?"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমি বললাম, হুঁ ।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,শুধু হুঁ বললি ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,সুন্দর একটা কথা বল।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমি বললাম, “কে বলে শারদ পপি এ যূখের তুলা পদনখে পড়ে আছে
তার কতগুলো ।”"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"এর মানে কি?"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এর মানে হল শরৎ রাতের চাঁদও এই সুখের তুলনা হবে না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,শরতের পূর্ণ চন্দ্র পড়ে থাকবে এই তরুণীর পায়ের নখের কাছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,বাহ্।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তুই বানিয়েছিস?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,কবি ভারতচন্দ্র লিখেছেন।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,উপবতী প্রায় দেখলে উনার মাথা ঠিক থাকত না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,নিজে বিয়ে করেছিলেন এর ভড়কা রাক্ষশীকে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ধুমসি আলুর বস্তা।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,গাত্র বর্ণ পাতিল কালো ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,দু'টা দাঁত খরগোসের স্নাত সব সময় ঠোঁটের বাইরে ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ভারতবাবু এই মেয়েকে বিয়ে কখন কেন ?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,মহিলার উচ্চবংশ বলে বিয়ে ধরেছিলেন কবিরা আবার বংশের দিকে দুর্বল।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,রাক্ষুসীর কথা বাদ দে এলিক্স মেয়েটাকে বিয়ে করবি?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"ধান্দাবাজি না, এক কথায় জবাব দে।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,হ্যাঁ না-কি না!

